Uuid,Attribute|54686249-2c26-4dd9-be90-fc7868dedd8f,Name,Attribute|d4e54a2f-39bf-4b0a-8000-f2048eddbe12,Description,Attribute|f369dbaa-3a0a-416e-97d1-cac1a230824f,County/District,State/Province,Address 4,Void/Retire,_order:1000,Unnamed: 11
0a06d661-c5d5-4e1f-8be4-f44b455021e4,1083760,Mati Medium Clinic,Operational,Medium Clinic,Clinic,Oromia Region,East Hararge Zone,Melkabello,,,
8eb88336-1c64-4c53-ba9a-972669731ff4,1083905,Mati Medium Clinic,Operational,Medium Clinic,Clinic,Oromia Region,Sheger City,Furi Sub -City,,,
ce3fe249-969b-4563-b0e1-3dfd21248609,1085860,Mati Medium Clinic,Operational,Medium Clinic,Clinic,Tigray Region,Southern Zone,Mekoni Town,,,
b020486e-cd0d-4931-8d77-0faf176df7e3,1088349,Mati Medium Clinic,Operational,Medium Clinic,Clinic,Oromia Region,East Wollega Zone,Guto Gida,,,
d5239b42-0883-46ad-85f9-09c5bb5a54cb,1092760,Mati Medium Clinic,Operational,Medium Clinic,Clinic,Oromia Region,East Wollega Zone,Diga,,,
58895b44-a905-4507-a763-a079978d51ac,1094462,Mati Medium Clinic,Operational,Medium Clinic,Clinic,Oromia Region,East Wollega Zone,Wayu Tuqa,,,
777aa93e-259c-4044-b1f7-a7a232debb07,1096569,Mati Medium Clinic,Operational,Medium Clinic,Clinic,Oromia Region,Horo Gudru Wellega Zone,Jardga Jarte,,,
38586131-6c74-4d0c-a113-2b0be5db97fe,1096599,Mati Medium Clinic,Operational,Medium Clinic,Clinic,Oromia Region,East Shewa Zone,Adami Tulu Jido Kombolcha,,,
d9795620-be6d-4cbb-a024-f2c61d1f0cbb,1101836,Mati Medium Clinic,Operational,Medium Clinic,Clinic,Oromia Region,Guji Zone,Anna Sorra,,,
ba663f6d-41f9-42ec-9fa0-b58a3a6ba7d7,1102272,Mati Medium Clinic,Operational,Medium Clinic,Clinic,Oromia Region,West Arsi Zone,Arsi Negele Town,,,
213858e3-15a1-46d2-ac3b-f4ab87d09669,1084277,Mati Medium Clinic ,Operational,Medium Clinic,Clinic,Oromia Region,Arsi zone,Munesa,,,
39dccc5f-5cb3-47f3-9c5b-6f0b5bc60f3d,1092879,Mati Medium Dental Clinic,Operational,Dental Medium Clinic,Specialty Clinic,Oromia Region,West Hararge Zone,Chiro Town,,,
4a2a14db-a5c6-4dfe-a63f-c0dfa9075fd4,1101213,Mati Medium Dental Clinic,Operational,Dental Medium Clinic,Specialty Clinic,Dire Dawa City Administration,Goro Operational,,,,
64041120-15f3-4c54-9096-480f3b770074,1009338,Mati Me`e Boko Primary Clinic,Operational,Primary Clinic,Clinic,Oromia Region,Guji Zone,Anna Sorra,,,
9323357c-b858-4c99-82ca-27c10131c81a,1031377,Mati Negele primary Clinic,Operational,Primary Clinic,Clinic,Oromia Region,West Arsi Zone,Dodola Rural,,,
58700ba6-6c18-42a4-b1f4-2b36c95ee8b5,1038833,Mati Primary clinic,Operational,Primary Clinic,Clinic,Oromia Region,Holeta Town,Holota Town,,,
ac1b6ddd-7654-4ff9-881c-01ddc20f1e8b,1084580,Mati Primary clinic,Operational,Primary Clinic,Clinic,South West Ethiopia Region,Dawro Zone,Loma Bosa,,,
fbe473b0-0f2d-4675-af66-c6444ae3552d,1009352,Mati  Primary Clinic,Operational,Primary Clinic,Clinic,Oromia Region,Metu Town,Metu Town,,,
059585b9-2906-4bd5-983c-578e04c84563,1007006,Mati Primary Clinic,Operational,Primary Clinic,Clinic,Oromia Region,East Borena Zone,Goro Dola Woreda,,,
60ecafe1-e4f4-4abf-8ddd-336c3c60c308,1009340,Mati Primary Clinic,Operational,Primary Clinic,Clinic,Oromia Region,West Arsi Zone,Shala,,,
b2e41837-8852-41e5-994c-827d8458a9ba,1009343,Mati Primary Clinic,Operational,Primary Clinic,Clinic,Oromia Region,East Wollega Zone,Jima Arjo,,,
9bef9d19-7d0c-4744-8ddd-a481fb43ff43,1009349,Mati Primary Clinic,Operational,Primary Clinic,Clinic,Oromia Region,Borena Zone,Elwaye,,,
bfc44762-dd72-4874-8f00-1a30cdee91fa,1009351,Mati Primary Clinic,Operational,Primary Clinic,Clinic,Oromia Region,Guji Zone,Saba Boru,,,
2538b7d3-f92a-4851-8f0f-61848a8160db,1011974,Mati Primary Clinic,Operational,Primary Clinic,Clinic,Oromia Region,Arsi zone,Jeju,,,
2c184b70-4295-46fc-a61f-a8309f6cecd8,1031424,Mati Primary Clinic,Operational,Primary Clinic,Clinic,Oromia Region,West Shewa Zone,Ambo Woreda,,,
8e98c7c8-e53b-4b81-acaf-2d82cce5871b,1031538,Mati Primary Clinic,Operational,Primary Clinic,Clinic,Oromia Region,West Shewa Zone,Bako Tibe,,,
1910e743-ccb5-46e2-b95c-1cbc655e1ec0,1031648,Mati Primary Clinic,Operational,Primary Clinic,Clinic,Oromia Region,West Shewa Zone,Dendi,,,
20bbfa71-f7b3-4724-85dc-44f847dda6d3,1032828,Mati Primary Clinic,Operational,Primary Clinic,Clinic,Oromia Region,West Guji Zone,Kercha,,,
136249d1-4c39-4090-86aa-1531546ecddb,1033191,Mati Primary Clinic,Operational,Primary Clinic,Clinic,Oromia Region,Guji Zone,Uraga,,,
a82d1060-8e56-44a4-82f6-7d11a4af7697,1034816,Mati Primary Clinic,Operational,Primary Clinic,Clinic,Oromia Region,South West Shewa,Goro,,,
cff3da2b-9e7d-4f66-a36b-2575fd2c7950,1038230,Mati Primary Clinic,Operational,Primary Clinic,Clinic,Oromia Region,Nekemte Town,Nekemte Town,,,
da1e366d-02fd-47d7-b39a-aed28505867d,1038483,Mati Primary Clinic,Operational,Primary Clinic,Clinic,Oromia Region,Ilu Aba Bora Zone,Darimu,,,
958251b9-dd3d-434a-bc3d-107a23bc3e2b,1038751,Mati Primary Clinic,Operational,Primary Clinic,Clinic,Oromia Region,Horo Gudru Wellega Zone,Shambu,,,
ce36044e-28aa-4d2b-b243-12f0a3c1e908,1048674,Mati Primary Clinic,Operational,Primary Clinic,Clinic,Oromia Region,Kelem Wollega Zone,Dambi Dollo,,,
03ab474a-c414-464d-ae54-ede68f6a8228,1048888,Mati Primary Clinic,Operational,Primary Clinic,Clinic,Oromia Region,Kelem Wollega Zone,Anfilo,,,
037b2493-b814-4a98-a379-97025b6e071f,1048944,Mati Primary Clinic,Operational,Primary Clinic,Clinic,Oromia Region,Kelem Wollega Zone,Seyo,,,
5ec00fa5-6665-4de1-85dc-abc5fda6f2ee,1049247,Mati Primary Clinic,Operational,Primary Clinic,Clinic,Oromia Region,Jimma Zone,Gomma,,,
4858bd4a-8b5d-44ae-89c4-2edd176077ce,1049721,Mati Primary Clinic,Operational,Primary Clinic,Clinic,Oromia Region,East Wollega Zone,Sibu Sire,,,
35bbdbdf-4c10-4308-8710-8a018e84e86a,1049770,Mati Primary Clinic,Operational,Primary Clinic,Clinic,Oromia Region,East Wollega Zone,Gida Ayana,,,
b2454dd8-b527-429a-976a-0c1101474ac7,1049794,Mati Primary Clinic,Operational,Primary Clinic,Clinic,Oromia Region,East Wollega Zone,Sasiga,,,
da4719bd-c310-421a-bfd7-3cd549e8c02c,1064592,Mati Primary Clinic,Operational,Primary Clinic,Clinic,Oromia Region,East Wollega Zone,Limu,,,
93313c68-f5db-4e35-a0c5-5a650a667268,1096720,Mati Primary Clinic,Operational,Primary Clinic,Clinic,Oromia Region,West Hararge Zone,Gelemso Town,,,
9d93497d-b081-45cb-a12d-f747f8c72777,1032167,Mati Primary Clinic ,Operational,Primary Clinic,Clinic,Oromia Region,West Hararge Zone,Habro,,,
f8811ce5-c644-41c2-8b7d-360261aa8492,1088376,Mati Primary Clinic ,Operational,Primary Clinic,Clinic,Oromia Region,West Guji Zone,Birbirsa Kojowa,,,
ca96ace3-1cba-492a-ad2b-568611ad407a,1100803,Matira Medium Clinic,Operational,Medium Clinic,Clinic,Oromia Region,East Shewa Zone,Boset,,,
674fb02f-b208-4900-8662-aae1bb33aef1,1098508,Mati Smart Medium Clinic ,Operational,Medium Clinic,Clinic,Oromia Region,Buno Bedele Zone,Bedele Town,,,
3391df9f-e0fc-4354-9106-9b6476df97ff,1048479,Mati Tokofa Primary Clinic,Operational,Primary Clinic,Clinic,Oromia Region,West Wollega Zone,Babo Gembel,,,
a4a99603-003e-4097-8ff2-860d4e3abe02,1035778,Matiwak Primary Clinic,Operational,Primary Clinic,Clinic,Oromia Region,South West Shewa,Becho,,,
db429e37-5ba4-409d-acfb-4bafbdf59029,1090901,Mattu University Student Clinic,Operational,Institution Based Medium Clinic,Clinic,Oromia Region,Metu Town,Metu Town,,,
421f2431-f2df-418f-a827-fedbe30be707,1086975,Matusala Primary Clinic,Operational,Primary Clinic,Clinic,South Ethiopia Region,Wolaita zone,Duguna fango woreda,,,
a2ef191f-dde1-4dcf-96ae-59f32bb058a1,1089552,Maxiilla Dental Speciality Clinic ,Operational,Dental Speciality Clinic,Specialty Clinic,Addis Ababa City Administration,Bole Sub City,Woreda 4,,,
39a146a2-a86e-412c-8f18-3fafd00ecdc5,1048439,Maya Abraham Medium Clinic,Operational,Medium Clinic,Clinic,Oromia Region,Guji Zone,Adola Town,,,
2d48989d-7f8b-49f9-a329-28fb7540ec12,1088656,Maya Mati Primary Clinic,Operational,Primary Clinic,Clinic,Oromia Region,West Guji Zone,Melka Soda,,,
dfb0ebb0-c05b-4268-a755-cdb5c84a672b,1058865,Maya Medium Clinic,Operational,Medium Clinic,Clinic,Oromia Region,Maya Town,Aweday Sub City,,,
fc8a476c-f719-41f8-b828-2138d9749fb0,1084233,Maya Medium Clinic,Operational,Medium Clinic,Clinic,Oromia Region,Arsi zone,Hurta Town,,,
9fe592da-f7f8-4a43-a120-0e1ec8396e06,1089563,Maya Medium Clinic,Operational,Medium Clinic,Clinic,Oromia Region,Maya Town,Haramaya Sub City,,,
ba1a7bfb-8fdf-4474-95e5-30cd5bccee0d,1097129,Maya Medium Clinic,Operational,Medium Clinic,Clinic,Sidama Region,Hawassa City Administration,Menhariya Sub City,,,
51ce3597-4322-4026-8f13-66dc25447263,1099699,Maya Medium Clinic,Operational,Medium Clinic,Clinic,Oromia Region,Adama Town,Boku Shenen Sub City,,,
0bf42752-42ae-4f11-bdb2-b1ae9440a034,1100618,Maya Medium Clinic,Operational,Medium Clinic,Clinic,Oromia Region,Shashemene Town,Alache Sub city,,,
f8c1ccf7-52d6-4c4e-8ef3-b602c9c4983d,1102195,Maya Medium Clinic,Operational,Medium Clinic,Clinic,South West Ethiopia Region,Bench Sheko Zone,Mizan Aman Town Administration,,,
e4ada225-7317-44a2-9deb-99ae6c880183,1100984,Maya Medium Dental Clinic,Operational,Dental Medium Clinic,Specialty Clinic,Addis Ababa City Administration,Nifas Silk Lafto Sub City,Woreda 14,,,
0868fde1-b235-4dfb-a0da-de12ae0fd469,1084878,Maya Medium Dental Clinic ,Operational,Dental Medium Clinic,Specialty Clinic,Oromia Region,Maya Town,Aweday Sub City,,,
77e9392c-236b-434b-98b7-d378118c4c57,1076832,Maya Medium Eye Clinic,Operational,Medium Clinic,Clinic,Amhara Region,Woldia Town Administration,Woldiya Town,,,
46058261-056a-42b9-b4d2-33e8247350ab,1000922,Mayani Sheraro General Hospital,Operational,General Hospital,Hospital,Tigray Region,North West Zone,Sheraro,,,
87e0fc7e-95c2-4e7c-ac7e-da02f253793c,1082267,Mayaye Optometry Medium Clinic ,Operational,Optometry Medium Clinic,Specialty Clinic,Sidama Region,Hawassa City Administration,Menhariya Sub City,,,
f4944d2f-8236-4d79-8de7-6ed8d8639ca9,1087152,May Harmaz Medium Clinic,Operational,Medium Clinic,Clinic,Tigray Region,North West Zone,Tsimbla woreda,,,
54e5636a-706a-491d-884c-21b40dddeb36,1059528,Mayi Primary Clinic,Operational,Primary Clinic,Clinic,Oromia Region,West Shewa Zone,Dano,,,
191d5694-8c25-47b9-a268-7cab3eb42b1c,1039617,Maylomin Medium Clnic,Operational,Medium Clinic,Clinic,Tigray Region,Central Zone,Abi Adi,,,
f5a76568-6368-40d1-a7bd-5224ea90a097,1038107,May Medium Cilinic,Operational,Medium Clinic,Clinic,Oromia Region,Jimma Town,Jimma Town,,,
1c920047-4c4a-4309-acf8-29683b994eae,1065689,Mayo Medium Clinic,Operational,Medium Clinic,Clinic,Addis Ababa City Administration,Lemi kura Sub city,Woreda 13,,,
0667d335-81aa-4162-921d-771f330d7bf5,1039024,Mayo My Brothers Medium Clinic,Operational,Medium Clinic,Clinic,Central Ethiopia Region,Hadiya Zone,hosaena town adminstration,,,
82be4ed2-85ab-43ab-ad2f-4208974af992,1095073,Mayo My Brothers Number 2 Medium Clinic ,Operational,Medium Clinic,Clinic,Central Ethiopia Region,Hadiya Zone,lemo woreda,,,
b15abb07-d637-4e98-beb8-d5c9edf91b10,1048770,Mayo Primary Clinic,Operational,Primary Clinic,Clinic,Gambella Region,Nuer Zone,Lare,,,
ac09abd0-892e-46e8-b6eb-11efbbb855b3,1087443,Mayo Primary Hospital ,Operational,Primary Hospital,Hospital,Tigray Region,North West Zone,Shire Endasilase,,,
b4a5ec4b-c53f-4cea-952b-05ed9d6629c8,1093691,May Tsebri Primary Hospital,Operational,Primary Hospital,Hospital,Tigray Region,North West Zone,Maitsebri Town,,,
21d9a208-e108-4133-bab5-4c2bf531687a,1083957,Maza Medium Clinic,Operational,Medium Clinic,Clinic,Oromia Region,Sheger City,Koye Fache Sub-City,,,
4568fd15-0261-45d5-9f13-fb4d177b5610,1089693,Maza Medium Clinic ,Operational,Medium Clinic,Clinic,Addis Ababa City Administration,Akaki Kality Sub City,Woreda 9,,,
532d3ee5-faa4-4ae8-b772-2ff7a5febd36,1035604,Maze Genet Primary Clinic,Operational,Primary Clinic,Clinic,South Ethiopia Region,gamo zone,Kamba Zuria Woreda,,,
181819ce-df9d-4d38-9ca2-bd5d33a62b3f,1083061,Maz Fire Primary Clinic,Operational,Primary Clinic,Clinic,South West Ethiopia Region,Bench Sheko Zone,Shey Bench Woreda,,,
69a7753f-e430-4ea8-a00c-1502b3b9a5a5,1033582,Mazora Primary clinic,Operational,Primary Clinic,Clinic,Oromia Region,West Guji Zone,Birbirsa Kojowa,,,
47a7406b-73cc-4a3d-8bcd-86b3d0c49fbe,1029110,M.B.A Medium Clinic,Operational,Medium Clinic,Clinic,Addis Ababa City Administration,Yeka Sub City,Woreda 2,,,
a2296ed4-1e3a-4a53-a3dc-20e5c7a4295b,1098527,MBA Medium Clinic ,Operational,Medium Clinic,Clinic,Addis Ababa City Administration,Yeka Sub City,Woreda 2,,,
8e790028-ca70-443a-ad26-cc607868b57e,1003379,MCM Comprehensive Specialized Hospital,Operational,Comprehensive Specialized Hospital,Hospital,Addis Ababa City Administration,Bole Sub City,Woreda 14,,,
6c902dab-6d5d-4840-92ca-60bf349ee177,1038166,MD Medium Clinic,Operational,Medium Clinic,Clinic,Oromia Region,Sheger City,Melka Nonno Sub-City,,,
9212562c-1a3e-4411-943f-52711e0d02cc,1096892,MD Medium Clinic,Operational,Medium Clinic,Clinic,South West Ethiopia Region,Bench Sheko Zone,Mizan Aman Town Administration,,,
f49fde2f-9393-460a-86b6-d6b86cd59cea,1098622,Mdre-Kebd Medium Clinic,Operational,Institution Based Medium Clinic,Clinic,Central Ethiopia Region,East Gurage Zone,Buee Town,,,
facfce59-84e9-4da4-8740-c9ab3a2a1dba,1094931,Meaza Primary clinic,Operational,Primary Clinic,Clinic,Amhara Region,Debreberhan Town Administration,Debreberhan Town,,,
dd627934-f1d9-4b69-b352-f6acfd4e8bcc,1047533,Meaza Primery Clinic,Operational,Primary Clinic,Clinic,South Ethiopia Region,South omo zone,Male woreda,,,
993c0dcc-22b9-4062-a944-7b6b66b1ea78,1095797,Meba Dental Medium Clinic ,Operational,Dental Medium Clinic,Specialty Clinic,Addis Ababa City Administration,Lemi kura Sub city,Woreda 4,,,
cda47b7d-a759-401b-bef6-3cf594852322,1029215,Meba Medium Clinic,Operational,Medium Clinic,Clinic,Addis Ababa City Administration,Kolfe Sub city,Woreda 6,,,
3e9d22b4-506b-4098-bb97-bab28c62882e,1090937,Meba Medium Clinic,Operational,Medium Clinic,Clinic,Gambella Region,Majang Zone,Mengeshi,,,
f7e8e338-3da6-4334-8172-fd5cb2495fe3,1098468,Meba Medium Clinic,Operational,Medium Clinic,Clinic,Addis Ababa City Administration,Nifas Silk Lafto Sub City,Woreda 11,,,
bce0bbbb-4296-4d5f-968f-c52f91ffed45,1097727,Meba Primary Clinic,Operational,Primary Clinic,Clinic,Afar Region,Zone 3,Amibara Woreda,,,
4c91cc6d-dd44-4a36-b590-f1f3bf3b7d5a,1090514,Mebastar Medium clinic,Operational,Medium Clinic,Clinic,Addis Ababa City Administration,Akaki Kality Sub City,Woreda13,,,
de4f2430-fab1-4cd8-84e3-088f492aaca6,1075800,Meberatu Primary Clinic,Operational,Primary Clinic,Clinic,Amhara Region,South Gondar Zone,Lay Gayint,,,
ae843699-6025-4c3e-a598-8ca3dc9dda3e,1038175,Meberuk Medium Clinic,Operational,Medium Clinic,Clinic,Oromia Region,Sheger City,Burayu Sub-City,,,
f5e6f188-4e06-4757-8452-b4f88e22ab8c,1077533,Mebiratu Medium Clinic,Operational,Medium Clinic,Clinic,Amhara Region,South Gondar Zone,Estie,,,
aef1f38e-412b-4af6-9c00-ca9e707e139c,1038453,Mebrate Medium Clinic,Operational,Medium Clinic,Clinic,Oromia Region,Sheger City,Sebeta Sub-City,,,
fad37876-ac0f-4004-b9f7-43fc5fe88c3a,1049478,Mebrat Primary Clinic,Operational,Primary Clinic,Clinic,Oromia Region,Jimma Zone,Seka Chekorsa,,,
c24fe014-d7bd-429e-b7fa-f1992b1f86bd,1058939,Mebratu Medium Clinic,Operational,Medium Clinic,Clinic,Oromia Region,East Shewa Zone,Meki Town,,,
8b416ebf-107b-4c94-8d5e-be51f76b6dba,1099913,Mebratu Medium Clinic ,Operational,Medium Clinic,Clinic,South Ethiopia Region,gofa zone,Demba gofa woreda,,,
67904c22-2883-4135-9e87-4c014e638486,1071614,Mebrej Dermatology Specialty Clinic,Operational,Dermatology clinic,Specialty Clinic,Amhara Region,Bahirdar Town Administration,Bahir Dar Town,,,
8e399d68-b1a9-4cee-9565-ebdf5ba96066,1049090,Mebruk Lemefa Primary Clinic,Operational,Primary Clinic,Clinic,Oromia Region,Jimma Zone,Gera,,,
d9b43c8a-9ed6-4afb-b29e-fed38379bc54,1081148,Mebruk Primary Clinic,Operational,Primary Clinic,Clinic,South West Ethiopia Region,Bench Sheko Zone,Biftu Town Administration,,,
bd05362e-8307-4423-99f9-baeffe7a8f66,1095126,Mebtu Gashaw Primary Clinic,Operational,Primary Clinic,Clinic,Amhara Region,Central Gondar Zone,Alefa,,,
4ab0126f-7c14-4667-9264-62dfc17784e2,1059569,Mecha Barodo Primary Clinic,Operational,Institution Based Primary Clinic,Clinic,Oromia Region,West Shewa Zone,Dendi,,,
d3c1185f-4a97-4c2e-bd5d-da64dc8f604e,1076930,Mechal Geta Primary Clinic,Operational,Primary Clinic,Clinic,Amhara Region,North Shoa Zone,Antsokia Gemza,,,
0da35abd-ab1e-4f17-84d4-e7799e1be95d,1084132,Mecha Medium Clinic,Operational,Medium Clinic,Clinic,Oromia Region,West Wollega Zone,Gimbi Town,,,
ac72ee40-9396-46f9-b536-ccb498c7e3b0,1048526,Mecha Primary Clinic,Operational,Primary Clinic,Clinic,Oromia Region,Jimma Zone,Chora Botor,,,
7af25354-15aa-4361-8256-88eb4e73df19,1076840,Mecharie Surgery Specaility Center,Operational,Surgery Center,Specialty Center,Amhara Region,Woldia Town Administration,Woldiya Town,,,
c5ba3c55-a798-4365-ba6f-f52d6ae421c5,1090914,Mechote Medium Clinic,Operational,Medium Clinic,Clinic,Addis Ababa City Administration,Addis Ketema Sub City,Woreda 13,,,
7a766a19-5b0c-4661-a3e5-cbd0ddca2c4d,1009403,Meda Feya Primary Clinic,Operational,Primary Clinic,Clinic,Oromia Region,East Hararge Zone,Chinaksen Worda,,,
d5bd572f-e022-4efe-bc98-3195562efe44,1098029,Medahanialem Medium clinic,Operational,Medium Clinic,Clinic,South West Ethiopia Region,Kaffa Zone,Goba woreda,,,
7e6c0f5b-4d6a-4193-8d52-9113f7e62f54,1032034,Medahnialem Medium Clinic,Operational,Medium Clinic,Clinic,Oromia Region,West Shewa Zone,Ejersa Lafo,,,
6e93a1fe-2b16-4cf7-82b1-dd3140f0bc2d,1083764,Medanalem Medium Clinic,Operational,Medium Clinic,Clinic,Oromia Region,Sheger City,Furi Sub -City,,,
383cfd92-f4c2-4b3a-859f-d4903078f12d,1032680,Medanalem Primary Clinic,Operational,Primary Clinic,Clinic,Oromia Region,West Guji Zone,Kercha Town,,,
d5287326-7528-4eb4-be7c-fc0a0b17f539,1045859,Medanealem Primary Clinic,Operational,Primary Clinic,Clinic,South Ethiopia Region,Koore zone,Sarmale Woreda,,,
0868cb73-ece8-4eca-9346-e1ffa425c2be,1061687,Medane Primary Clinic,Operational,Primary Clinic,Clinic,Central Ethiopia Region,Hadiya Zone,ann lemo woreda,,,
9cec8c54-c002-4168-ba6a-c3ad57e1fcae,1067049,Medanialem Primary Clinic,Operational,Primary Clinic,Clinic,South Ethiopia Region,gamo zone,Kamba Town,,,
4db202bc-b341-42a9-a380-863d1f24c162,1054255,Medan Medium Clinic,Operational,Medium Clinic,Clinic,Sidama Region,Hawassa City Administration,Hayik Dar Sub City,,,
c0927181-f3e8-4e14-9ee9-e622d11f89e1,1092328,Medan Medium Clinic ,Operational,Medium Clinic,Clinic,Addis Ababa City Administration,Bole Sub City,Woreda 11,,,
33f476a2-e297-4bc5-bbb4-2e911e111bd5,1098028,Medan Medium Clinic ,Operational,Medium Clinic,Clinic,Central Ethiopia Region,Hadiya Zone,lemo woreda,,,
81bbc2d6-7777-4bb0-a64e-f0b1d9b698d1,1035428,Medan Primary Clinic,Operational,Primary Clinic,Clinic,South Ethiopia Region,gamo zone,Arbamich Zuria Woreda,,,
a257636f-2965-4bba-8ef1-00abd11bdf9e,1058575,Medan Primary Clinic,Operational,Primary Clinic,Clinic,South Ethiopia Region,Wolaita zone,Hobicha woreda,,,
384e2439-5098-4f3a-bd7e-43475917287c,1093442,Medan Primary Clinic,Operational,Primary Clinic,Clinic,South Ethiopia Region,Wolaita zone,Tebela town,,,
0072a3d3-2ae2-477c-8fff-caf7b044d8ee,1039786,Meda Raya Medium Clinic,Operational,Medium Clinic,Clinic,Tigray Region,Southern Zone,Alamata Town,,,
0a889d4b-7f53-48a9-95ed-1498721e6267,1082932,Meda Raya Medium Clinic,Operational,Medium Clinic,Clinic,Amhara Region,North Wollo Zone,,,,
11f0c554-b8f3-46cd-bdbf-74c2178d3add,1083010,Meda Raya Medium Clinic,Operational,Medium Clinic,Clinic,Amhara Region,North Wollo Zone,Alamata Town,,,
660fdc5e-f2b7-456c-abfb-b9259b25e8c2,1053025,Meda walabu Medium Clinic,Operational,Medium Clinic,Clinic,Oromia Region,Arsi zone,Bokeji Town,,,
dfbf874d-bf9f-4603-826c-def2d1d04e9b,1032815,Medawalabu University Medium Clinic,Operational,Institution Based Medium Clinic,Clinic,Oromia Region,Robe Town,Adoshe Weleshe Sub City,,,
02c482ed-ee85-4256-b3f8-2d88162143c2,1033285,Meda Welabu Primary Clinic ,Operational,Primary Clinic,Clinic,Oromia Region,East Hararge Zone,Girawa,,,
eb6942aa-4a61-403d-80f9-70cf75a22414,1079512,Meda Welabu Primary Hospital (private),Operational,Primary Hospital,Hospital,Oromia Region,Dodola Town,Dodola Town,,,
0c6b851c-2c90-4661-8a52-ff03694ba2aa,1036167,Meda Welabu University General Hospital,Operational,General Hospital,Hospital,Oromia Region,Robe Town,Goba Sub City,,,
d71cfc76-6269-4c79-95fc-7438a5d1c918,1038334,Medehin Medium Clinic,Operational,Medium Clinic,Clinic,Oromia Region,Adama Town,Bole Sub City,,,
3384bd75-d302-4452-9a8f-75cfcf131ffc,1003555,Medewelabu Primary Hospital.,Operational,Primary Hospital,Hospital,Oromia Region,East Borena Zone,Mada Walabu,,,
65000cf9-8940-46ee-ba18-3cb185da9457,1043367,Medhanealem primary clinic,Operational,Primary Clinic,Clinic,South West Ethiopia Region,Sheka Zone,Yeki Woreda,,,
8406311c-9c6d-4817-81ca-dd86140f812b,1065901,Medhanealem Primary clinic,Operational,Primary Clinic,Clinic,South West Ethiopia Region,Sheka Zone,Yeki Woreda,,,
c794b289-505b-4c01-8d77-321354501d8d,1097623,Medhanealem Primary clinic,Operational,Primary Clinic,Clinic,South West Ethiopia Region,Sheka Zone,,,,
27c2cb75-c596-4e71-851f-40a6251b7bc5,1095937,Medhanealem Primary Clinic,Operational,Primary Clinic,Clinic,Amhara Region,Bahirdar Town Administration,Bahir Dar Town,,,
47d2e100-34a3-402e-824c-3051dcc15181,1083357,Medhanialem Medium clinic,Operational,Medium Clinic,Clinic,Amhara Region,Waghimera Zone,Sekota Town,,,
d0a16cdc-a8ac-4f3c-9f1c-d47a9185a9d0,1077071,Medhanialem  Medium Clinic,Operational,Medium Clinic,Clinic,Amhara Region,North Shoa Zone,Minjarina Shenkora,,,
a9bb9ce1-e611-41cc-af0b-f8f3e4531c9e,1009398,Medhanialem Medium Clinic,Operational,Medium Clinic,Clinic,Benishangul-Gumuz Region,Assosa Town Administration,Assosa Town,,,
178bccfb-52a2-4107-8158-85273e863243,1029209,Medhanialem Medium Clinic,Operational,Medium Clinic,Clinic,Addis Ababa City Administration,Akaki Kality Sub City,Woreda 3,,,
273b8da4-23a5-446c-9c0a-d56302e89165,1082564,Medhanialem Midum Clinic,Operational,Medium Clinic,Clinic,Amhara Region,West Gojam Zone,Jabi Tehinan,,,
865e5475-b25e-441d-8532-b0e4d2d220f4,1083371,Medhanialem Primary clinic,Operational,Primary Clinic,Clinic,Amhara Region,Waghimera Zone,Gazgibla,,,
e141772f-a71c-4866-b3fb-fc83ff5b9709,1075261,Medhanialem Primary Clinic,Operational,Primary Clinic,Clinic,Amhara Region,North Shoa Zone,Minjarina Shenkora,,,
32d959a6-43fe-4410-83ee-9b53e638ad82,1077429,Medhanialem Primary Clinic,Operational,Primary Clinic,Clinic,Amhara Region,South Gondar Zone,Farta,,,
8903ad2b-0cc2-4d1e-9f14-1cdb84b8286e,1087172,Medhanialem Primary Clinic,Operational,Primary Clinic,Clinic,Tigray Region,Eastern Zone,Tsirae Wonberta Woreda,,,
25d207d4-b729-41e7-97a6-68a892197bc4,1095156,Medhanialem Primary Clinic,Operational,Primary Clinic,Clinic,Amhara Region,Central Gondar Zone,West Belesa,,,
4d267298-f731-4568-98a0-567f0f7b7d12,1101019,Medhanialem Primary Clinic,Operational,Primary Clinic,Clinic,Gambella Region,Majang Zone,Mengeshi,,,
86595af0-3d46-4f3b-a94b-484f9cab2f17,1048290,Medhanilem Primary Clinic,Operational,Primary Clinic,Clinic,South Ethiopia Region,gofa zone,Sawla town,,,
85dcea95-835a-4311-8ada-2473d53c63c4,1096001,Medhanit Primary Clinic		,Operational,Primary Clinic,Clinic,Amhara Region,North Shoa Zone,Efratana Gidim,,,
69fdb471-3d0a-4d2c-a14c-dd53b712c568,1034311,Medhaniyalem Primary clinic,Operational,Primary Clinic,Clinic,Central Ethiopia Region,East Gurage Zone,Sodo Woreda,,,
fcd757ec-96f5-4e25-a49c-fddb18d983d7,1035151,Medhaniyalem  Primary Clinic,Operational,Primary Clinic,Clinic,Oromia Region,Arsi zone,Jeju,,,
e25300da-1698-46af-a87c-a2b3f82d5dcf,1083187,"Medhin Internal Medicine ,Surgery And Pediatric Specialty Clinic",Operational,"Internal Medicine clinic,Surgery clinic,Pediatric clinic",Specialty Clinic,Amhara Region,Woldia Town Administration,Woldiya Town,,,
