Uuid,Attribute|54686249-2c26-4dd9-be90-fc7868dedd8f,Name,Attribute|d4e54a2f-39bf-4b0a-8000-f2048eddbe12,Description,Attribute|f369dbaa-3a0a-416e-97d1-cac1a230824f,County/District,State/Province,Address 4,Void/Retire,_order:1000,Unnamed: 11
bc206318-c5ad-418b-b6ec-e0af3eb48c3b,1031303,Aseko Primary Clinic,Operational,Primary Clinic,Clinic,Oromia Region,Arsi zone,Aseko,,,
f666b718-8c8a-44f5-84d6-e30e034a1a8a,1089593,Asela Melt Factery Primery Clinic,Operational,Primary Clinic,Clinic,Oromia Region,Arsi zone,Tiyo,,,
7af62ae4-5804-4ef6-aad3-752ac1e4b9b5,1034822,AselaTown Mariestopes Medium Clinic,Operational,Medium Clinic,Clinic,Oromia Region,Asela Town,Asella Town,,,
7784943a-4763-4fef-bd0e-72257d2dc312,1085692,Asella Rehabilitation Center ,Operational,Rehabilitation Center,Specialty Center,Oromia Region,Asela Town,Asella Town,,,
e8d4cdde-8601-4708-a041-bab3cd090bd8,1081146,Asel Primary Clinic,Operational,Primary Clinic,Clinic,South West Ethiopia Region,Bench Sheko Zone,Gura Ferda Woreda,,,
5f91b7f4-780d-42ee-af26-1d8db3cd2e68,1098375,Asemani Midium Clinic,Operational,Medium Clinic,Clinic,Benishangul-Gumuz Region,Assosa Zone,Kurmuk Woreda,,,
04caa1cd-9766-44d1-8e1f-8f7ce152323e,1004906,Asemani Number 2 Medium Clinic,Operational,Medium Clinic,Clinic,Benishangul-Gumuz Region,Assosa Zone,Kurmuk Woreda,,,
89e6e674-2ec6-4552-85fe-0c148a23c0aa,1049464,Asendabo Primary Clinic,Operational,Primary Clinic,Clinic,Oromia Region,Jimma Zone,Omo Nada,,,
27e9dbd6-aa87-4c7d-aeb6-54a812ef4b9b,1004909,Ase Primary Clinic,Operational,Primary Clinic,Clinic,Oromia Region,East Wollega Zone,Nunu Kumba,,,
0077bc34-986f-4f79-b060-93d5a0d0c0ad,1082753,Aseresa Medium  Clinic,Operational,Medium Clinic,Clinic,Amhara Region,West Gojam Zone,Womberma,,,
53146e9b-e73f-4c92-becc-fa16941928f0,1099046,Aser Hiwyet Psychiatry Speciality Center,Operational,Psychiatry Center,Specialty Center,Tigray Region,Mekelle Zone,Adi Haki,,,
a2b4fe7e-5ebe-4d52-80e2-104b13982eff,1030190,Aser Medium Clinic,Operational,Medium Clinic,Clinic,Addis Ababa City Administration,Nifas Silk Lafto Sub City,Woreda 1,,,
33eafbaf-515a-46c9-82e9-2c879da8b3b1,1062291,Aser Medium Clinic,Operational,Medium Clinic,Clinic,South Ethiopia Region,Arba Minch Town,Arba Minch Town,,,
abd96b2e-d751-4689-b2b2-cc54a20bbb93,1091026,Aser Medium Clinic,Operational,Medium Clinic,Clinic,South West Ethiopia Region,Bench Sheko Zone,Siz Town Administration,,,
3c9a2e52-2b61-453b-a9a9-0e47e3134e0c,1045789,Aser Primary clinic,Operational,Primary Clinic,Clinic,South Ethiopia Region,Konso zone,Karat zuriya woreda,,,
3bce33ef-7ef2-46d7-9994-e23e8807ffe5,1046245,Aser  Primary Clinic,Operational,Primary Clinic,Clinic,Central Ethiopia Region,Kembata Zone,Hadero Town,,,
c6cd58c7-bc0a-408b-b72b-05b2daec0cf0,1086978,Aser Primary Clinic,Operational,Primary Clinic,Clinic,South Ethiopia Region,Wolaita zone,Duguna fango woreda,,,
a5e0e623-f70c-4ac4-9002-ad0f88ba6e8e,1076699,Asfa Medium Clinic,Operational,Medium Clinic,Clinic,Amhara Region,East Gojjam Zone,Hulet Eju Nese,,,
69fbfe1d-bc55-48eb-abe0-fbdea454345e,1029867,Asfaw Beyen Primary Clinic,Operational,Primary Clinic,Clinic,Addis Ababa City Administration,Nifas Silk Lafto Sub City,Woreda 10,,,
c0865d9c-a2f5-4199-9083-f2c42c9979dd,1032515,Asfaw Medium Clinic,Operational,Medium Clinic,Clinic,Oromia Region,Bishoftu Town,Dibayu Woreda,,,
7e65c244-1ec5-4a7d-9d44-db2ac6fbcb95,1095060,Asfaw Medium Clinic,Operational,Medium Clinic,Clinic,Central Ethiopia Region,Hadiya Zone,east badawacho woreda,,,
affeeb9c-1c89-4af2-916d-5436db4e9dfb,1095174,Asfaw Primary Clinic,Operational,Primary Clinic,Clinic,Amhara Region,Central Gondar Zone,Central Armacho,,,
8bf14c4f-22c2-4991-9d4f-da97ef25888b,1037796,Asfew Medium Clinic,Operational,Medium Clinic,Clinic,Oromia Region,Jimma Town,Jimma Town,,,
f2fbfc42-e8da-45b8-9772-5349ccb42b2d,1087282,Asgede Medium Clinic,Operational,Medium Clinic,Clinic,Tigray Region,North West Zone,Asgede Woreda,,,
0a9e4e80-903c-45b2-a856-29d84612d082,1035802,Asgori Primary Clinic,Operational,Primary Clinic,Clinic,Oromia Region,South West Shewa,Ilu,,,
81239eaa-237e-4eda-9f4e-3d37cdb557f3,1059544,Asgori Primary Clinic,Operational,Primary Clinic,Clinic,Oromia Region,West Shewa Zone,Dendi,,,
c3eeefee-3087-4302-981a-22b1a4f03f9e,1032233,Ashabaqa primary Clinic,Operational,Primary Clinic,Clinic,Oromia Region,Arsi zone,Digeluna Tijo,,,
21d8a88f-23ba-43b6-a71a-dd77283e162f,1098035,Ashagirie Primary Clinic,Operational,Primary Clinic,Clinic,Gambella Region,Agniwa zone,Dimma,,,
